Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32328178,Yachts and Things,Truman Capote,"Capote, Truman",Victor Bevine,"=""""","=""""",2,3.19,Audible Studios,Audible Audio,1,2013,2004,2020/09/05,2020/09/05,,,read,,,,1,0
43347603,The Yellow House,Sarah M. Broom,"Broom, Sarah M.",,"=""0802125085""","=""9780802125088""",3,3.89,Grove Press,Hardcover,376,2019,2019,2020/09/05,2020/09/05,audiobooks-listened,audiobooks-listened (#94),audiobooks-listened,,,,1,0
1883838,The Heroin Diaries: A Year in the Life of a Shattered Rock Star,Nikki Sixx,"Sixx, Nikki",,"=""1847371663""","=""9781847371669""",5,4.14,,Hardcover,413,2007,2007,,2020/08/04,,,read,,,,1,0
54102531,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",4,4.26,Anchor ,Kindle Edition,210,2019,2019,2020/07/25,2019/05/07,,,read,,,,1,0
13065605,11.22.63,Stephen        King,"King, Stephen",Craig Wasson,"=""""","=""""",3,4.34,Simon & Schuster Audio,Audible Audio,31,2011,2011,2012/02/28,2012/02/28,audiobooks-listened,audiobooks-listened (#4),audiobooks-listened,,,,1,0
43618595,Soulless: The Case Against R. Kelly,Jim DeRogatis,"DeRogatis, Jim",,"=""1419740075""","=""9781419740077""",3,4.22,Abrams Books,Hardcover,306,2019,2019,2020/07/17,2019/06/25,audiobooks-listened,audiobooks-listened (#93),audiobooks-listened,,,,1,0
288644,Q & A,Vikas Swarup,"Swarup, Vikas",,"=""0739467042""","=""9780739467046""",3,4.02,Scribner,Paperback,318,2005,2005,2020/06/14,2020/06/15,audiobooks-listened,audiobooks-listened (#91),audiobooks-listened,,,,1,0
5306,Travels with Charley: In Search of America,John Steinbeck,"Steinbeck, John",,"=""0142000701""","=""9780142000700""",3,4.08,Penguin,Paperback,214,2002,1961,,2020/05/17,,,read,,,,1,0
44776548,Year of the Monkey,Patti Smith,"Smith, Patti",,"=""0525657681""","=""9780525657682""",0,3.79,Knopf,Hardcover,171,2019,2019,,2020/05/17,to-read,to-read (#40),to-read,,,,0,0
6613956,The Solitude of Prime Numbers,Paolo Giordano,"Giordano, Paolo",Shaun Whiteside,"=""0670021482""","=""9780670021482""",2,3.65,Pamela Dorman Books,Hardcover,271,2010,2008,2020/05/17,2011/06/25,audiobooks-listened,audiobooks-listened (#90),audiobooks-listened,,,,2,0
53299776,The Getaway,Greer Hendricks,"Hendricks, Greer","Sarah Pekkanen, Emily Bauer","=""""","=""""",2,3.33,Audible Original,Audible Audio,3,2020,2020,2020/05/09,2020/05/09,audiobooks-listened,audiobooks-listened (#89),audiobooks-listened,,,,1,0
40665796,The River,Peter Heller,"Heller, Peter",,"=""""","=""""",5,3.85,Knopf,ebook,274,2019,2019,2020/05/03,2020/04/25,,,read,,,,1,0
45754981,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0525521143""","=""9780525521143""",3,3.69,Alfred A. Knopf,Hardcover,307,2020,2020,2020/05/02,2020/01/01,,,read,,,,1,0
6289283,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""""","=""""",0,4.31,Knopf,Hardcover,287,2009,2009,,2020/05/03,audiobooks-listened,audiobooks-listened (#88),audiobooks-listened,,,,0,0
